"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 18 02:11:49 GMT 2024","Sun Aug 18 02:11:52 GMT 2024","2893","","GX3-124: Another","","","","GX3-124 TC1: Other Test Case Example",""
"passed","Sun Aug 18 02:11:52 GMT 2024","Sun Aug 18 02:11:53 GMT 2024","1214","","GX3-123: Auth","","","","GX3-123 TC2: Should login with user A",""
"passed","Sun Aug 18 02:11:49 GMT 2024","Sun Aug 18 02:11:52 GMT 2024","2883","","GX3-123: Auth","","","","GX3-123 TC1: Should login with user Z",""
"passed","Sun Aug 18 02:11:53 GMT 2024","Sun Aug 18 02:11:54 GMT 2024","1116","","GX3-123: Auth","","","","GX3-123 TC3: Should login with user C",""
