"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 18 01:28:02 GMT 2024","Sun Aug 18 01:28:03 GMT 2024","1577","","GX3-123: Auth","","","","GX3-123 TC1: Should login with user Z",""
"passed","Sun Aug 18 01:28:02 GMT 2024","Sun Aug 18 01:28:03 GMT 2024","1615","","GX3-124: Another","","","","GX3-124 TC1: Other Test Case Example",""
"passed","Sun Aug 18 01:28:03 GMT 2024","Sun Aug 18 01:28:04 GMT 2024","1183","","GX3-123: Auth","","","","GX3-123 TC2: Should login with user A",""
"passed","Sun Aug 18 01:28:04 GMT 2024","Sun Aug 18 01:28:05 GMT 2024","1097","","GX3-123: Auth","","","","GX3-123 TC3: Should login with user C",""
